Country Code,Country Name,year,tem_change
AFG,Afghanistan,1961,-0.08
ALB,Albania,1961,0.631
DZA,Algeria,1961,0.186
ASM,American Samoa,1961,-0.014
AND,Andorra,1961,0.749
AGO,Angola,1961,0.053
AIA,Anguilla,1961,0.072
ATA,Antarctica,1961,0.28
ATG,Antigua and Barbuda,1961,0.057
ARG,Argentina,1961,0.129
ARM,Armenia,1961,
ABW,Aruba,1961,-0.232
AUS,Australia,1961,0.151
AUT,Austria,1961,1.035
AZE,Azerbaijan,1961,
BHS,Bahamas,1961,0.016
BHR,Bahrain,1961,-0.465
BGD,Bangladesh,1961,0.155
BRB,Barbados,1961,0.215
BLR,Belarus,1961,
BEL,Belgium,1961,
,Belgium-Luxembourg,1961,0.872
BLZ,Belize,1961,-0.079
BEN,Benin,1961,-0.116
BTN,Bhutan,1961,0.218
BOL,Bolivia (Plurinational State of),1961,0.234
BIH,Bosnia and Herzegovina,1961,
BWA,Botswana,1961,0.126
BRA,Brazil,1961,0.165
VGB,British Virgin Islands,1961,0.1
BRN,Brunei Darussalam,1961,0.141
BGR,Bulgaria,1961,0.888
BFA,Burkina Faso,1961,-0.302
BDI,Burundi,1961,0.068
CPV,Cabo Verde,1961,-0.096
KHM,Cambodia,1961,-0.037
CMR,Cameroon,1961,-0.097
CAN,Canada,1961,0.045
CYM,Cayman Islands,1961,
CAF,Central African Republic,1961,0.008
TCD,Chad,1961,-0.426
CHA,Channel Islands,1961,0.68
CHL,Chile,1961,-0.275
CHN,China,1961,0.264
HKG,"China, Hong Kong SAR",1961,0.047
MAC,"China, Macao SAR",1961,0.047
,"China, mainland",1961,0.264
TWN,"China, Taiwan Province of",1961,0.16
CXR,Christmas Island,1961,
CCK,Cocos (Keeling) Islands,1961,-0.017
COL,Colombia,1961,0.038
COM,Comoros,1961,0.427
COG,Congo,1961,-0.165
COK,Cook Islands,1961,0.04
CRI,Costa Rica,1961,
CIV,Côte d'Ivoire,1961,-0.062
HRV,Croatia,1961,
CUB,Cuba,1961,0.009
CYP,Cyprus,1961,0.04
CZE,Czechia,1961,
,Czechoslovakia,1961,1.16
PRK,Democratic People's Republic of Korea,1961,0.479
COD,Democratic Republic of the Congo,1961,-0.016
DNK,Denmark,1961,1.104
DJI,Djibouti,1961,0.105
DMA,Dominica,1961,0.038
DOM,Dominican Republic,1961,-0.04
ECU,Ecuador,1961,-0.124
EGY,Egypt,1961,-0.224
SLV,El Salvador,1961,-0.069
GNQ,Equatorial Guinea,1961,-0.118
ERI,Eritrea,1961,
EST,Estonia,1961,
SWZ,Eswatini,1961,0.297
ETH,Ethiopia,1961,
,Ethiopia PDR,1961,-0.061
FLK,Falkland Islands (Malvinas),1961,-0.351
FRO,Faroe Islands,1961,0.633
FJI,Fiji,1961,0.215
FIN,Finland,1961,1.906
FRA,France,1961,0.835
,French Guiana,1961,-0.121
PYF,French Polynesia,1961,0.072
,French Southern and Antarctic Territories,1961,-0.484
GAB,Gabon,1961,-0.147
GMB,Gambia,1961,-0.162
GEO,Georgia,1961,
DEU,Germany,1961,0.99
GHA,Ghana,1961,-0.057
GIB,Gibraltar,1961,0.572
GRC,Greece,1961,0.467
GRL,Greenland,1961,-0.293
GRD,Grenada,1961,0.176
GLP,Guadeloupe,1961,0.057
GTM,Guatemala,1961,-0.068
GIN,Guinea,1961,-0.156
GNB,Guinea-Bissau,1961,-0.144
GUY,Guyana,1961,-0.025
HTI,Haiti,1961,-0.08
VAT,Holy See,1961,0.711
