BASIN,ISO_TIME_________,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES
NA,1970-05-17 18:00:00,TS,11.5,-79,25,,25,
NA,21:00:00,TS,11.65,-79.14,,,25,
NA,1970-05-18 00:00:00,TS,11.8,-79.3,25,,25,
NA,03:00:00,TS,11.96,-79.49,,,25,
NA,06:00:00,TS,12.1,-79.7,25,,25,
NA,09:00:00,TS,12.2,-79.9,,,25,
NA,12:00:00,TS,12.3,-80.1,25,,25,
NA,15:00:00,TS,12.43,-80.29,,,25,
NA,18:00:00,TS,12.6,-80.5,25,,25,
NA,21:00:00,TS,12.78,-80.74,,,25,
NA,1970-05-19 00:00:00,TS,13,-81,25,,25,
NA,03:00:00,TS,13.24,-81.26,,,25,
NA,06:00:00,TS,13.5,-81.5,25,,25,
NA,09:00:00,TS,13.73,-81.72,,,25,
NA,12:00:00,TS,14,-81.9,25,1005,25,1005
NA,15:00:00,TS,14.33,-82.02,,,27,
NA,18:00:00,TS,14.7,-82.1,30,,30,
NA,21:00:00,TS,15.09,-82.18,,,32,
NA,1970-05-20 00:00:00,TS,15.5,-82.2,35,,35,
NA,03:00:00,TS,15.91,-82.13,,,40,
NA,06:00:00,TS,16.3,-82,45,,45,
NA,09:00:00,TS,16.62,-81.86,,,50,
NA,12:00:00,TS,16.9,-81.7,55,,55,
NA,15:00:00,TS,17.16,-81.56,,,60,
NA,18:00:00,TS,17.4,-81.4,65,993,65,993
NA,21:00:00,TS,17.61,-81.21,,,62,
NA,1970-05-21 00:00:00,TS,17.8,-81,60,,60,
NA,03:00:00,TS,18.01,-80.8,,,55,
NA,06:00:00,TS,18.2,-80.6,50,,50,
NA,09:00:00,TS,18.34,-80.38,,,47,
NA,12:00:00,TS,18.5,-80.2,45,1002,45,1002
NA,15:00:00,TS,18.73,-80.06,,,45,1002
NA,18:00:00,TS,19,-80,45,1003,45,1003
NA,21:00:00,TS,19.3,-80,,,45,1003
NA,1970-05-22 00:00:00,TS,19.5,-80.1,45,1004,45,1004
NA,03:00:00,TS,19.45,-80.32,,,42,1004
NA,06:00:00,TS,19.3,-80.6,40,1005,40,1005
NA,09:00:00,TS,19.19,-80.83,,,37,1006
NA,12:00:00,TS,19.1,-81.1,35,1007,35,1007
NA,15:00:00,TS,19.02,-81.43,,,32,
NA,18:00:00,TS,19,-81.8,30,,30,
NA,21:00:00,TS,19.05,-82.19,,,30,
NA,1970-05-23 00:00:00,TS,19.2,-82.6,30,,30,
NA,03:00:00,TS,19.44,-83.06,,,27,
NA,06:00:00,TS,19.8,-83.5,25,,25,
NA,09:00:00,TS,20.27,-83.84,,,25,
NA,12:00:00,TS,20.8,-84.1,25,,25,
NA,15:00:00,TS,21.29,-84.29,,,25,
NA,18:00:00,TS,21.8,-84.4,25,,25,
NA,21:00:00,TS,22.35,-84.49,,,25,
NA,1970-05-24 00:00:00,TS,22.9,-84.5,25,,25,
NA,03:00:00,TS,23.41,-84.42,,,27,
NA,06:00:00,TS,23.9,-84.3,30,1008,30,1008
NA,09:00:00,TS,24.37,-84.2,,,30,1008
NA,12:00:00,TS,24.9,-84.1,30,1008,30,1008
NA,15:00:00,TS,25.55,-84.02,,,30,
NA,18:00:00,TS,26.3,-83.9,30,,30,
NA,21:00:00,TS,27.14,-83.67,,,30,
NA,1970-05-25 00:00:00,TS,28,-83.4,30,,30,
NA,03:00:00,TS,28.78,-83.16,,,30,
NA,06:00:00,TS,29.5,-82.9,30,,30,
NA,09:00:00,TS,30.19,-82.56,,,30,
NA,12:00:00,TS,30.8,-82.2,30,,30,
NA,15:00:00,TS,31.34,-81.88,,,32,
NA,18:00:00,TS,31.8,-81.6,35,1003,35,1003
NA,21:00:00,TS,32.21,-81.39,,,37,
NA,1970-05-26 00:00:00,TS,32.6,-81.2,40,,40,
NA,03:00:00,TS,33.03,-80.98,,,40,
NA,06:00:00,TS,33.5,-80.7,40,,40,
NA,09:00:00,TS,34.03,-80.35,,,40,
NA,12:00:00,TS,34.6,-79.9,40,,40,
NA,15:00:00,TS,35.17,-79.37,,,37,
NA,18:00:00,TS,35.7,-78.7,35,,35,
NA,21:00:00,TS,36.13,-77.89,,,35,
NA,1970-05-27 00:00:00,TS,36.5,-77,35,1003,35,1003
