BASIN,ISO_TIME_________,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES
NA,1985-08-12 00:00:00,TS,18.5,-80.7,25,1010,25,1010
NA,03:00:00,TS,18.85,-81.05,,,25,1010
NA,06:00:00,TS,19.2,-81.4,25,1010,25,1010
NA,09:00:00,TS,19.56,-81.74,,,25,1010
NA,12:00:00,TS,19.9,-82.1,25,1010,25,1010
NA,15:00:00,TS,20.21,-82.49,,,25,1010
NA,18:00:00,TS,20.5,-82.9,25,1011,25,1011
NA,21:00:00,TS,20.8,-83.29,,,25,1011
NA,1985-08-13 00:00:00,TS,21.1,-83.7,25,1011,25,1011
NA,03:00:00,TS,21.4,-84.14,,,25,1011
NA,06:00:00,TS,21.7,-84.6,25,1011,25,1011
NA,09:00:00,TS,21.99,-85.09,,,27,1011
NA,12:00:00,TS,22.3,-85.6,30,1011,30,1011
NA,15:00:00,TS,22.64,-86.14,,,30,1011
NA,18:00:00,TS,23,-86.7,30,1011,30,1011
NA,21:00:00,TS,23.35,-87.26,,,32,1010
NA,1985-08-14 00:00:00,TS,23.7,-87.8,35,1010,35,1010
NA,03:00:00,TS,24.05,-88.31,,,40,1008
NA,06:00:00,TS,24.4,-88.8,45,1007,45,1007
NA,09:00:00,TS,24.74,-89.31,,,47,1005
NA,12:00:00,TS,25.1,-89.8,50,1004,50,1004
NA,15:00:00,TS,25.48,-90.27,,,55,1002
NA,18:00:00,TS,25.9,-90.7,60,1001,60,1001
NA,21:00:00,TS,26.33,-91.12,,,65,999
NA,1985-08-15 00:00:00,TS,26.8,-91.5,70,997,70,997
NA,03:00:00,TS,27.28,-91.88,,,72,996
NA,06:00:00,TS,27.8,-92.2,75,995,75,995
NA,09:00:00,TS,28.36,-92.44,,,77,991
NA,12:00:00,TS,28.9,-92.6,80,988,80,988
NA,15:00:00,TS,29.31,-92.69,,,80,987
NA,16:30:00,TS,29.6,-92.7,80,987,80,987
NA,18:00:00,TS,30,-92.7,70,988,70,988
NA,21:00:00,TS,30.57,-92.59,,,60,990
NA,1985-08-16 00:00:00,TS,31,-92.4,50,992,50,992
NA,03:00:00,TS,31.51,-92.22,,,45,994
NA,06:00:00,TS,32,-92,40,997,40,997
NA,09:00:00,TS,32.46,-91.74,,,35,998
NA,12:00:00,TS,32.9,-91.4,30,1000,30,1000
NA,15:00:00,TS,33.32,-90.94,,,30,1001
NA,18:00:00,TS,33.7,-90.4,30,1002,30,1002
NA,21:00:00,TS,34.03,-89.83,,,30,1003
NA,1985-08-17 00:00:00,TS,34.3,-89.2,30,1004,30,1004
NA,03:00:00,TS,34.52,-88.52,,,30,1005
NA,06:00:00,TS,34.7,-87.8,30,1006,30,1006
NA,09:00:00,TS,34.86,-87.06,,,30,1007
NA,12:00:00,TS,35,-86.3,30,1008,30,1008
NA,15:00:00,TS,35.15,-85.54,,,30,1009
NA,18:00:00,TS,35.3,-84.8,30,1010,30,1010
NA,21:00:00,TS,35.46,-84.09,,,27,1010
NA,1985-08-18 00:00:00,TS,35.6,-83.4,25,1011,25,1011
NA,03:00:00,TS,35.71,-82.7,,,25,1011
NA,06:00:00,TS,35.8,-82,25,1011,25,1011
NA,09:00:00,TS,35.89,-81.3,,,25,1011
NA,12:00:00,TS,36,-80.6,25,1012,25,1012
NA,15:00:00,TS,36.13,-79.89,,,25,1012
NA,18:00:00,TS,36.3,-79.2,25,1012,25,1012
NA,21:00:00,TS,36.49,-78.54,,,25,1012
NA,1985-08-19 00:00:00,ET,36.7,-77.9,25,1012,25,1012
NA,03:00:00,ET,36.9,-77.25,,,25,1012
NA,06:00:00,ET,37.1,-76.6,25,1012,25,1012
NA,09:00:00,ET,37.29,-75.95,,,25,1012
NA,12:00:00,ET,37.5,-75.3,25,1012,25,1012
NA,15:00:00,ET,37.74,-74.65,,,25,1012
NA,18:00:00,ET,38,-74,25,1013,25,1013
NA,21:00:00,ET,38.24,-73.34,,,22,1013
NA,1985-08-20 00:00:00,ET,38.5,-72.7,20,1013,20,1013
NA,03:00:00,ET,38.79,-72.08,,,20,1013
NA,06:00:00,ET,39.1,-71.5,20,1014,20,1014
NA,09:00:00,ET,39.39,-70.93,,,20,1014
NA,12:00:00,ET,39.7,-70.4,20,1014,20,1014
NA,15:00:00,ET,40.04,-69.89,,,20,1014
NA,18:00:00,ET,40.4,-69.4,20,1014,20,1014
