BASIN,ISO_TIME_________,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES
NA,1998-08-31 12:00:00,TS,21.6,-93.5,30,1005,30,1005
NA,15:00:00,TS,22,-93.68,,,32,1003
NA,18:00:00,TS,22.4,-93.8,35,1002,35,1002
NA,21:00:00,TS,22.79,-93.8,,,35,1002
NA,1998-09-01 00:00:00,TS,23.2,-93.7,35,1002,35,1002
NA,03:00:00,TS,23.64,-93.57,,,37,1001
NA,06:00:00,TS,24.1,-93.4,40,1001,40,1001
NA,09:00:00,TS,24.56,-93.27,,,42,1000
NA,12:00:00,TS,25,-93.1,45,999,45,999
NA,15:00:00,TS,25.39,-92.85,,,47,998
NA,18:00:00,TS,25.8,-92.5,50,998,50,998
NA,21:00:00,TS,26.3,-92.04,,,50,998
NA,1998-09-02 00:00:00,TS,26.8,-91.5,50,998,50,998
NA,03:00:00,TS,27.23,-90.98,,,50,997
NA,06:00:00,TS,27.6,-90.4,50,996,50,996
NA,09:00:00,TS,27.92,-89.7,,,60,995
NA,12:00:00,TS,28.2,-89,70,994,70,994
NA,15:00:00,TS,28.44,-88.43,,,77,991
NA,18:00:00,TS,28.7,-87.9,85,988,85,988
NA,21:00:00,TS,29.03,-87.35,,,82,986
NA,1998-09-03 00:00:00,TS,29.4,-86.8,80,985,80,985
NA,03:00:00,TS,29.71,-86.29,,,75,986
NA,06:00:00,TS,30.1,-85.7,70,987,70,987
NA,09:00:00,TS,30.67,-84.89,,,57,988
NA,12:00:00,TS,31.3,-84,45,990,45,990
NA,15:00:00,TS,31.88,-83.21,,,42,992
NA,18:00:00,ET,32.4,-82.4,40,994,40,994
NA,21:00:00,ET,32.79,-81.44,,,40,994
NA,1998-09-04 00:00:00,ET,33.2,-80.5,40,994,40,994
NA,03:00:00,ET,33.8,-79.74,,,45,994
NA,06:00:00,ET,34.5,-79,50,995,50,995
NA,09:00:00,ET,35.25,-78.15,,,50,996
NA,12:00:00,ET,35.9,-77.2,50,998,50,998
NA,15:00:00,ET,36.19,-76.26,,,50,999
NA,18:00:00,ET,36.5,-75,50,1000,50,1000
NA,21:00:00,ET,37.14,-73.24,,,50,1000
NA,1998-09-05 00:00:00,ET,38,-71,50,1000,50,1000
NA,03:00:00,ET,38.93,-68.29,,,50,999
NA,06:00:00,ET,40,-65.5,50,998,50,998
NA,09:00:00,ET,41.2,-63.2,,,50,994
NA,12:00:00,ET,42.5,-61,50,990,50,990
NA,15:00:00,ET,43.8,-58.32,,,50,988
NA,18:00:00,ET,45,-56,50,986,50,986
NA,21:00:00,ET,46.1,-54.69,,,50,982
NA,1998-09-06 00:00:00,ET,47,-54,50,979,50,979
NA,03:00:00,ET,47.57,-53.42,,,50,973
NA,06:00:00,ET,48,-53,50,968,50,968
NA,09:00:00,ET,48.54,-52.57,,,52,966
NA,12:00:00,ET,49,-52,55,964,55,964
NA,15:00:00,ET,49.29,-51.07,,,55,965
NA,18:00:00,ET,49.5,-50,55,966,55,966
NA,21:00:00,ET,49.75,-49.07,,,55,967
NA,1998-09-07 00:00:00,ET,50,-48,55,968,55,968
NA,03:00:00,ET,50.25,-46.65,,,52,969
NA,06:00:00,ET,50.5,-45,50,970,50,970
NA,09:00:00,ET,50.79,-43.08,,,47,974
NA,12:00:00,ET,51,-41,45,978,45,978
NA,15:00:00,ET,51.03,-39.07,,,45,978
NA,18:00:00,ET,51,-37,45,978,45,978
NA,21:00:00,ET,50.97,-34.46,,,42,980
NA,1998-09-08 00:00:00,ET,51,-32,40,982,40,982
NA,03:00:00,ET,51.2,-30.14,,,40,982
NA,06:00:00,ET,51.5,-28.5,40,982,40,982
NA,09:00:00,ET,51.77,-26.79,,,37,982
NA,12:00:00,ET,52,-25,35,983,35,983
