BASIN,ISO_TIME_________,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES
NA,2021-08-26 12:00:00,TS,16.5,-78.9,30,1006,30,1006
NA,15:00:00,TS,16.96,-79.19,,,32,1006
NA,18:00:00,TS,17.4,-79.5,35,1006,35,1006
NA,21:00:00,TS,17.83,-79.84,,,37,1005
NA,2021-08-27 00:00:00,TS,18.3,-80.2,40,1004,40,1004
NA,03:00:00,TS,18.84,-80.54,,,42,1003
NA,06:00:00,TS,19.4,-80.9,45,1002,45,1002
NA,09:00:00,TS,19.9,-81.29,,,50,999
NA,12:00:00,TS,20.4,-81.7,55,996,55,996
NA,15:00:00,TS,20.95,-82.16,,,62,991
NA,18:00:00,TS,21.5,-82.6,70,987,70,987
NA,21:00:00,TS,21.86,-82.61,,,70,987
NA,23:25:00,TS,22.4,-83.2,70,988,70,988
NA,2021-08-28 00:00:00,TS,22.6,-83.5,70,989,70,989
NA,03:00:00,TS,23.22,-84.39,,,70,988
NA,06:00:00,TS,23.5,-84.7,70,987,70,987
NA,09:00:00,TS,23.93,-85.22,,,70,986
NA,12:00:00,TS,24.4,-85.7,70,986,70,986
NA,15:00:00,TS,24.98,-86.15,,,75,981
NA,18:00:00,TS,25.6,-86.6,80,976,80,976
NA,21:00:00,TS,26.17,-87.09,,,85,971
NA,2021-08-29 00:00:00,TS,26.7,-87.6,90,967,90,967
NA,03:00:00,TS,27.17,-88.16,,,102,958
NA,06:00:00,TS,27.6,-88.7,115,950,115,950
NA,09:00:00,TS,28.06,-89.18,,,122,939
NA,12:00:00,TS,28.5,-89.6,130,929,130,929
NA,15:00:00,TS,28.89,-89.93,,,130,930
NA,16:55:00,TS,29.1,-90.2,130,931,130,931
NA,18:00:00,TS,29.2,-90.4,125,932,125,932
NA,21:00:00,TS,29.53,-90.62,,,115,938
NA,2021-08-30 00:00:00,TS,29.9,-90.6,105,944,105,944
NA,03:00:00,TS,30.24,-90.71,,,85,961
NA,06:00:00,TS,30.6,-90.8,65,978,65,978
NA,09:00:00,TS,31.05,-90.89,,,52,985
NA,12:00:00,TS,31.5,-90.9,40,992,40,992
NA,15:00:00,TS,31.86,-90.75,,,37,994
NA,18:00:00,TS,32.2,-90.5,35,996,35,996
NA,21:00:00,TS,32.59,-90.26,,,32,996
NA,2021-08-31 00:00:00,TS,33,-90,30,996,30,996
NA,03:00:00,TS,33.41,-89.74,,,27,996
NA,06:00:00,TS,33.8,-89.4,25,996,25,996
NA,09:00:00,TS,34.11,-88.95,,,25,996
NA,12:00:00,TS,34.4,-88.4,25,996,25,996
NA,15:00:00,TS,34.74,-87.79,,,22,997
NA,18:00:00,TS,35.1,-87.1,20,999,20,999
NA,21:00:00,TS,35.43,-86.34,,,20,999
NA,2021-09-01 00:00:00,TS,35.8,-85.5,20,1000,20,1000
NA,03:00:00,TS,36.23,-84.59,,,20,1000
NA,06:00:00,TS,36.7,-83.6,20,1000,20,1000
NA,09:00:00,TS,37.17,-82.63,,,22,1000
NA,12:00:00,ET,37.7,-81.5,25,1000,25,1000
NA,15:00:00,ET,38.37,-80.06,,,27,999
NA,18:00:00,ET,39,-78.5,30,999,30,999
NA,21:00:00,ET,39.44,-77.03,,,32,998
NA,2021-09-02 00:00:00,ET,39.8,-75.6,35,997,35,997
NA,03:00:00,ET,40.2,-74.21,,,37,997
NA,06:00:00,ET,40.6,-72.8,40,997,40,997
NA,09:00:00,ET,40.92,-71.22,,,40,997
NA,12:00:00,ET,41.4,-69.7,40,997,40,997
NA,15:00:00,ET,42.25,-68.4,,,40,996
NA,18:00:00,ET,43.3,-67.2,40,996,40,996
NA,21:00:00,ET,44.4,-65.85,,,40,995
NA,2021-09-03 00:00:00,ET,45.4,-64.7,40,995,40,995
NA,03:00:00,ET,46.09,-64.02,,,42,993
NA,06:00:00,ET,46.6,-63.6,45,992,45,992
NA,09:00:00,ET,47.06,-63.09,,,45,991
NA,12:00:00,ET,47.5,-62.7,45,991,45,991
NA,15:00:00,ET,48.1,-62.43,,,45,991
NA,18:00:00,ET,48.6,-62.4,45,992,45,992
NA,21:00:00,ET,48.79,-62.67,,,45,992
NA,2021-09-04 00:00:00,ET,48.8,-63.1,45,992,45,992
NA,03:00:00,ET,48.85,-63.55,,,42,992
NA,06:00:00,ET,48.7,-63.9,40,992,40,992
NA,09:00:00,ET,48.22,-63.99,,,37,994
NA,12:00:00,ET,47.6,-63.9,35,996,35,996
NA,15:00:00,ET,47.07,-63.72,,,32,997
NA,18:00:00,ET,46.6,-63.5,30,999,30,999
