BASIN,ISO_TIME_________,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES
NA,2004-09-13 18:00:00,TS,15.9,-60,25,1010,25,1010
NA,21:00:00,TS,15.93,-60.31,,,25,1010
NA,2004-09-14 00:00:00,TS,16,-60.7,25,1010,25,1010
NA,03:00:00,TS,16.15,-61.17,,,28,1009
NA,04:00:00,TS,16.2,-61.3,30,1009,30,1009
NA,06:00:00,TS,16.3,-61.5,30,1009,30,1009
NA,09:00:00,TS,16.36,-62,,,32,1007
NA,12:00:00,TS,16.4,-62.6,35,1006,35,1006
NA,15:00:00,TS,16.53,-63.09,,,42,1001
NA,18:00:00,TS,16.7,-63.5,50,996,50,996
NA,21:00:00,TS,16.91,-63.76,,,52,996
NA,2004-09-15 00:00:00,TS,17.1,-64,55,996,55,996
NA,03:00:00,TS,17.15,-64.39,,,55,995
NA,06:00:00,TS,17.2,-64.8,55,994,55,994
NA,09:00:00,TS,17.36,-65.09,,,57,992
NA,12:00:00,TS,17.6,-65.4,60,991,60,991
NA,15:00:00,TS,17.92,-65.86,,,60,991
NA,16:00:00,TS,18,-66,60,991,60,991
NA,18:00:00,TS,18.1,-66.2,60,991,60,991
NA,21:00:00,TS,18.31,-66.63,,,60,992
NA,2004-09-16 00:00:00,TS,18.5,-67.1,60,993,60,993
NA,03:00:00,TS,18.58,-67.47,,,60,992
NA,06:00:00,TS,18.6,-67.8,60,992,60,992
NA,09:00:00,TS,18.6,-68.03,,,65,987
NA,11:00:00,TS,18.6,-68.3,70,985,70,985
NA,12:00:00,TS,18.6,-68.5,70,984,70,984
NA,15:00:00,TS,18.66,-68.85,,,67,986
NA,18:00:00,TS,18.8,-69,65,988,65,988
NA,21:00:00,TS,19,-69.2,,,62,989
NA,2004-09-17 00:00:00,TS,19.2,-69.4,60,990,60,990
NA,03:00:00,TS,19.31,-69.62,,,57,990
NA,06:00:00,TS,19.4,-69.9,55,990,55,990
NA,09:00:00,TS,19.54,-70.27,,,52,990
NA,12:00:00,TS,19.7,-70.7,50,990,50,990
NA,15:00:00,TS,19.86,-71.18,,,40,996
NA,18:00:00,TS,20,-71.6,30,1002,30,1002
NA,21:00:00,TS,20.11,-71.83,,,35,1001
NA,2004-09-18 00:00:00,TS,20.2,-72,40,1000,40,1000
NA,03:00:00,TS,20.26,-72.26,,,42,1000
NA,06:00:00,TS,20.4,-72.5,45,1000,45,1000
NA,09:00:00,TS,20.78,-72.72,,,45,1000
NA,12:00:00,TS,21.2,-72.8,45,1000,45,1000
NA,15:00:00,TS,21.47,-72.58,,,42,1002
NA,18:00:00,TS,21.7,-72.3,40,1005,40,1005
NA,21:00:00,TS,21.94,-72.2,,,40,1003
NA,2004-09-19 00:00:00,TS,22.2,-72.2,40,1002,40,1002
NA,03:00:00,TS,22.48,-72.23,,,40,1002
NA,06:00:00,TS,22.8,-72.3,40,1002,40,1002
NA,09:00:00,TS,23.14,-72.42,,,40,1001
NA,12:00:00,TS,23.5,-72.5,40,1000,40,1000
NA,15:00:00,TS,23.86,-72.43,,,42,998
NA,18:00:00,TS,24.2,-72.3,45,996,45,996
NA,21:00:00,TS,24.5,-72.19,,,47,995
NA,2004-09-20 00:00:00,TS,24.8,-72.1,50,994,50,994
NA,03:00:00,TS,25.11,-72.06,,,52,993
NA,06:00:00,TS,25.5,-72,55,992,55,992
NA,09:00:00,TS,26.06,-71.87,,,57,990
NA,12:00:00,TS,26.6,-71.7,60,989,60,989
NA,15:00:00,TS,26.97,-71.57,,,67,986
NA,18:00:00,TS,27.2,-71.4,75,984,75,984
NA,21:00:00,TS,27.33,-71.12,,,75,983
NA,2004-09-21 00:00:00,TS,27.4,-70.8,75,982,75,982
