BASIN,ISO_TIME_________,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES
NA,2020-09-11 18:00:00,TS,25.4,-78.6,30,1007,30,1007
NA,21:00:00,TS,25.52,-78.99,,,30,1005
NA,2020-09-12 00:00:00,TS,25.6,-79.4,30,1004,30,1004
NA,03:00:00,TS,25.62,-79.82,,,30,1003
NA,06:00:00,TS,25.6,-80.2,30,1003,30,1003
NA,09:00:00,TS,25.54,-80.5,,,32,1003
NA,12:00:00,TS,25.5,-80.8,35,1003,35,1003
NA,15:00:00,TS,25.51,-81.18,,,35,1003
NA,18:00:00,TS,25.6,-81.6,35,1003,35,1003
NA,21:00:00,TS,25.75,-82.04,,,35,1003
NA,2020-09-13 00:00:00,TS,26,-82.5,35,1003,35,1003
NA,03:00:00,TS,26.34,-82.99,,,40,1002
NA,06:00:00,TS,26.7,-83.5,45,1001,45,1001
NA,09:00:00,TS,26.97,-84.01,,,47,998
NA,12:00:00,TS,27.2,-84.5,50,996,50,996
NA,15:00:00,TS,27.41,-84.98,,,50,996
NA,18:00:00,TS,27.6,-85.4,50,996,50,996
NA,21:00:00,TS,27.76,-85.73,,,50,996
NA,2020-09-14 00:00:00,TS,27.9,-86,50,996,50,996
NA,03:00:00,TS,28.06,-86.27,,,52,996
NA,06:00:00,TS,28.2,-86.5,55,996,55,996
NA,09:00:00,TS,28.31,-86.71,,,60,993
NA,12:00:00,TS,28.4,-86.9,65,991,65,991
NA,15:00:00,TS,28.51,-87.1,,,70,988
NA,18:00:00,TS,28.6,-87.3,75,986,75,986
NA,21:00:00,TS,28.66,-87.51,,,75,986
NA,2020-09-15 00:00:00,TS,28.7,-87.7,75,986,75,986
NA,03:00:00,TS,28.74,-87.87,,,72,985
NA,06:00:00,TS,28.8,-88,70,984,70,984
NA,09:00:00,TS,28.88,-88.07,,,70,983
NA,12:00:00,TS,29,-88.1,70,982,70,982
NA,15:00:00,TS,29.14,-88.11,,,70,981
NA,18:00:00,TS,29.3,-88.1,70,981,70,981
NA,21:00:00,TS,29.45,-88.06,,,72,978
NA,2020-09-16 00:00:00,TS,29.6,-88,75,975,75,975
NA,03:00:00,TS,29.72,-87.97,,,85,971
NA,06:00:00,TS,29.9,-87.9,95,967,95,967
NA,09:00:00,TS,30.22,-87.74,,,95,965
NA,09:45:00,TS,30.3,-87.7,95,965,95,965
NA,12:00:00,TS,30.5,-87.6,85,967,85,967
NA,15:00:00,TS,30.8,-87.42,,,72,974
NA,18:00:00,TS,31.1,-87.2,60,982,60,982
NA,21:00:00,TS,31.36,-86.96,,,47,988
NA,2020-09-17 00:00:00,TS,31.6,-86.7,35,994,35,994
NA,03:00:00,TS,31.85,-86.43,,,32,997
NA,06:00:00,TS,32.1,-86.1,30,1000,30,1000
NA,09:00:00,TS,32.34,-85.71,,,30,1001
NA,12:00:00,ET,32.6,-85.2,30,1003,30,1003
NA,15:00:00,ET,32.9,-84.55,,,30,1003
NA,18:00:00,ET,33.2,-83.8,30,1004,30,1004
NA,21:00:00,ET,33.46,-83.06,,,30,1004
NA,2020-09-18 00:00:00,ET,33.7,-82.3,30,1004,30,1004
NA,03:00:00,ET,33.91,-81.55,,,30,1004
NA,06:00:00,ET,34.1,-80.8,30,1005,30,1005
